, 3630.0 <= x < 3660.0; y_121= -1728.0 + 0.5x; interpolation
, 3660.0 <= x < 3690.0; y_122= 450.0 + -0.1x; interpolation
, 3690.0 <= x < 3720.0; y_123= 1670.0 + -0.4333x; interpolation
, 3720.0 <= x < 3750.0; y_124= -175.0 + 0.0667x; interpolation
, 3750.0 <= x < 3780.0; y_125= -1911.0 + 0.5333x; interpolation
, 3780.0 <= x < 3810.0; y_126= 839.0 + -0.2x; interpolation
, 3810.0 <= x < 3840.0; y_127= 1595.0 + -0.4x; interpolation
, 3840.0 <= x < 3870.0; y_128= -183.0 + 0.0667x; interpolation
, 3870.0 <= x < 3900.0; y_129= -2103.0 + 0.5667x; interpolation
, 3900.0 <= x < 3930.0; y_130= 1122.0 + -0.2667x; interpolation
, 3930.0 <= x < 3960.0; y_131= 1382.0 + -0.3333x; interpolation
, 3960.0 <= x < 3990.0; y_132= -59.0 + 0.0333x; interpolation
, 3990.0 <= x < 4020.0; y_133= 5485.0 + -1.3667x; interpolation
, 4020.0 <= x < 4050.0; y_134= 564.0 + -0.1333x; interpolation
, 4050.0 <= x < 4080.0; y_135= -8012.0 + 2.0x; interpolation
, 4080.0 <= x < 4110.0; y_136= 628.0 + -0.1333x; interpolation
, 4110.0 <= x < 4140.0; y_137= 1852.0 + -0.4333x; interpolation
, 4140.0 <= x < 4170.0; y_138= -1299.0 + 0.3333x; interpolation
, 4170.0 <= x < 4200.0; y_139= 1323.0 + -0.3x; interpolation
, 4200.0 <= x < 4230.0; y_140= -67.0 + 0.0333x; interpolation
, 4230.0 <= x < 4260.0; y_141= -2027.0 + 0.5x; interpolation
, 4260.0 <= x < 4290.0; y_142= 652.0 + -0.1333x; interpolation
, 4290.0 <= x < 4320.0; y_143= 1788.0 + -0.4x; interpolation
, 4320.0 <= x < 4350.0; y_144= -2216.0 + 0.5333x; interpolation
, 4350.0 <= x < 4380.0; y_145= 88.0 + 0.0x; interpolation
